,mode,randmode,level_2,#contacts,#contacts(>4),#contacts(<=4),#rfrags,#rfrags(>4),#rfrags(<=4),max_count,mean_count,median_count,95percentile_count,exp
0,junctions,real,0,281674,1560,280114,274680,62,274618,45,1.0254623561963012,1.0,1.0,oI43
1,junctions+hops,real,0,1944292,558547,1385745,919511,54206,865305,2589,2.1144847641844415,1.0,5.0,oI43
2,random_0,random,0,281674,29533,252141,220771,1767,219004,398,1.2758650366216577,1.0,2.0,oI43
3,random_1,random,0,281674,29845,251829,220638,1796,218842,395,1.2766341246748067,1.0,2.0,oI43
4,random_2,random,0,281674,29471,252203,220980,1767,219213,384,1.2746583401212779,1.0,2.0,oI43
5,random_3,random,0,281674,29800,251874,220913,1809,219104,401,1.2750449271885311,1.0,2.0,oI43
6,random_4,random,0,281674,30091,251583,220302,1809,218493,386,1.2785812203248268,1.0,2.0,oI43
7,random_5,random,0,281674,29487,252187,220815,1771,219044,376,1.275610805425356,1.0,2.0,oI43
8,random_6,random,0,281674,29572,252102,220826,1753,219073,394,1.2755472634562959,1.0,2.0,oI43
9,random_7,random,0,281674,29721,251953,220823,1774,219049,374,1.2755645924564016,1.0,2.0,oI43
10,random_8,random,0,281674,29692,251982,220722,1799,218923,365,1.2761482770181496,1.0,2.0,oI43
11,random_9,random,0,281674,29640,252034,220957,1813,219144,371,1.2747910226876722,1.0,2.0,oI43
0,junctions,real,0,1683140,6067,1677073,1546567,636,1545931,78,1.0883071991061493,1.0,2.0,oI7
1,junctions+hops,real,0,9664772,2887713,6777059,4249986,334033,3915953,3497,2.274071491059029,2.0,5.0,oI7
2,random_0,random,0,1683140,134937,1548203,1296719,9762,1286957,639,1.2979990267744979,1.0,2.0,oI7
3,random_1,random,0,1683140,133923,1549217,1297625,9668,1287957,624,1.2970927656295155,1.0,2.0,oI7
4,random_2,random,0,1683140,134147,1548993,1297355,9689,1287666,615,1.2973627110544146,1.0,2.0,oI7
5,random_3,random,0,1683140,134421,1548719,1296754,9675,1287079,600,1.29796399317064,1.0,2.0,oI7
6,random_4,random,0,1683140,135254,1547886,1296402,9806,1286596,654,1.2983164172841448,1.0,2.0,oI7
7,random_5,random,0,1683140,133956,1549184,1296795,9636,1287159,643,1.2979229562112746,1.0,2.0,oI7
8,random_6,random,0,1683140,134903,1548237,1296742,9733,1287009,636,1.2979760044789173,1.0,2.0,oI7
9,random_7,random,0,1683140,134272,1548868,1297419,9608,1287811,600,1.2972987138310754,1.0,2.0,oI7
10,random_8,random,0,1683140,134949,1548191,1297424,9790,1287634,652,1.297293714313902,1.0,2.0,oI7
11,random_9,random,0,1683140,134391,1548749,1297214,9719,1287495,612,1.297503727218485,1.0,2.0,oI7
0,junctions,real,0,108838,2168,106670,105427,60,105367,84,1.0323541407798762,1.0,1.0,oIH120
1,junctions+hops,real,0,561016,174794,386222,277173,14955,262218,4299,2.024064392996432,1.0,5.0,oIH120
2,random_0,random,0,108838,14546,94292,80612,1222,79390,856,1.3501463801915348,1.0,2.0,oIH120
3,random_1,random,0,108838,14665,94173,80526,1243,79283,833,1.3515883068822492,1.0,2.0,oIH120
4,random_2,random,0,108838,14580,94258,80714,1244,79470,827,1.3484401714696335,1.0,2.0,oIH120
5,random_3,random,0,108838,14885,93953,80424,1247,79177,865,1.353302496767134,1.0,2.0,oIH120
6,random_4,random,0,108838,14983,93855,80313,1281,79032,854,1.3551728860831995,1.0,3.0,oIH120
7,random_5,random,0,108838,14826,94012,80419,1246,79173,812,1.3533866374861663,1.0,2.0,oIH120
8,random_6,random,0,108838,14721,94117,80546,1262,79284,803,1.3512527003203139,1.0,2.0,oIH120
9,random_7,random,0,108838,14928,93910,80309,1267,79042,822,1.3552403840167353,1.0,2.0,oIH120
10,random_8,random,0,108838,14643,94195,80586,1238,79348,773,1.3505819869456233,1.0,2.0,oIH120
11,random_9,random,0,108838,14654,94184,80542,1241,79301,827,1.3513198082987758,1.0,2.0,oIH120
0,junctions,real,0,755170,1007,754163,723059,135,722924,34,1.0444099305865773,1.0,1.0,oIH50
1,junctions+hops,real,0,3568948,977843,2591105,1746086,110033,1636053,904,2.0439703428124387,1.0,5.0,oIH50
2,random_0,random,0,755170,60707,694463,578294,6129,572165,176,1.3058582658647677,1.0,2.0,oIH50
3,random_1,random,0,755170,61065,694105,578178,6108,572070,184,1.306120260542601,1.0,2.0,oIH50
4,random_2,random,0,755170,60593,694577,578302,6062,572240,189,1.3058402011405805,1.0,2.0,oIH50
5,random_3,random,0,755170,60272,694898,578730,5994,572736,218,1.304874466504242,1.0,2.0,oIH50
6,random_4,random,0,755170,60728,694442,577727,6039,571688,208,1.3071398774853866,1.0,2.0,oIH50
7,random_5,random,0,755170,60781,694389,578020,6115,571905,190,1.3064772845230268,1.0,2.0,oIH50
8,random_6,random,0,755170,60524,694646,579003,6040,572963,196,1.3042592180005976,1.0,2.0,oIH50
9,random_7,random,0,755170,61222,693948,577982,6159,571823,205,1.3065631801682405,1.0,2.0,oIH50
10,random_8,random,0,755170,60800,694370,577887,6110,571777,203,1.306777968703224,1.0,2.0,oIH50
11,random_9,random,0,755170,60214,694956,578406,6046,572360,198,1.3056054051998078,1.0,2.0,oIH50
0,junctions,real,0,293052,1465,291587,286336,124,286212,43,1.0234549620026823,1.0,1.0,oIH57
1,junctions+hops,real,0,1731236,510374,1220862,835547,47546,788001,2045,2.071979194467816,1.0,5.0,oIH57
2,random_0,random,0,293052,32773,260279,224326,2637,221689,359,1.3063666271408576,1.0,2.0,oIH57
3,random_1,random,0,293052,32666,260386,224582,2622,221960,335,1.304877505766268,1.0,2.0,oIH57
4,random_2,random,0,293052,32635,260417,224275,2678,221597,377,1.3066636941255156,1.0,2.0,oIH57
5,random_3,random,0,293052,33011,260041,224407,2695,221712,363,1.3058950923990784,1.0,2.0,oIH57
